"","SRRC","SOBOL","TGP","SVI_SRRC","SVI_SOBOL","SVI_TGP","SVI_TOTAL"
"ROOF",0.00308709238154623,0.715914306477616,0.0697260205367621,0.18186656203097,7.53257336088539,4.16849055967878,3.96097682753171
"WALL",0.00632073897229162,0.715741958706429,0.0699932235162214,0.372366914983632,7.53075998431462,4.18446498484774,4.02919729471533
"FLOOR",0.0109700828678599,0.71627692802039,0.0696740673643788,0.646268724673943,7.53638872446798,4.16538459856185,4.11601401590126
"WIN",0.00699988338061821,0.715643847698471,0.0695870272221643,0.412376621010974,7.52972769824593,4.16018100299823,4.03409510741838
"SHGC",0.0230424877272369,0.716075313592461,0.0700366524354871,1.35747736240223,7.5342674154576,4.18706133322074,4.35960203702686
"LPD",0.07828140284317,0.713744526787808,0.0789459589896521,4.61170831529116,7.5097437784304,4.71969405739493,5.61371538370549
"HEATEFF",0.0170192830079246,0.715668926977648,0.0696981616331087,1.00263876370717,7.52999157271879,4.16682504691915,4.23315179444837
"COP",0.0415329133822568,0.721669621844175,0.0733521165773621,2.44678397482158,7.5931285625644,4.38527257301282,4.8083950367996
"EPD",0.908151851770603,1.47055564011633,0.66544810589082,53.5009758926792,15.4726175189047,39.7830555366271,36.2522163160703
"HSP",0.138413458498405,0.673420270893887,0.0943706964177497,8.15420360802838,7.08546755850328,5.64184438032421,6.96050518228529
"CSP",0.447098031088979,0.912876075547453,0.272653846943004,26.3394067152087,9.6049288947592,16.3002990604172,17.4148782234617
"OCC",0.0165319077029869,0.716658638147287,0.0692064205250599,0.973926545162094,7.54040493074774,4.1374268659972,4.21725278063568
