,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,,,,,
ROOF,0.019597279,0.734956835,0.071572599,0.965140201,7.494204902,4.32081329,4.260052797,,0.009651402,0.074942049,0.043208133,,0.009651402,0.074942049,0.043208133
WALL,0.030709025,0.733831296,0.072387816,1.512379052,7.482728016,4.370027611,4.455044893,,0.015123791,0.07482728,0.043700276,,0.015123791,0.07482728,0.043700276
FLOOR,0.002179628,0.735338401,0.070771058,0.107343803,7.498095658,4.272424513,3.959287991,,0.001073438,0.074980957,0.042724245,,0.001073438,0.074980957,0.042724245
WIN,0.021103332,0.731610326,0.071339381,1.039311316,7.460081241,4.306733991,4.268708849,,0.010393113,0.074600812,0.04306734,,0.010393113,0.074600812,0.04306734
SHGC,0.033304623,0.738218547,0.070768154,1.64020883,7.527463918,4.272249195,4.479973981,,0.016402088,0.075274639,0.042722492,,0.016402088,0.075274639,0.042722492
LPD,0.109179883,0.736974987,0.081882136,5.376965461,7.514783588,4.94319645,5.944981833,,0.053769655,0.075147836,0.049431965,,0.053769655,0.075147836,0.049431965
HEATEFF,0.024835743,0.734667825,0.071581474,1.223127636,7.491257928,4.321349037,4.345244867,,0.012231276,0.074912579,0.04321349,,0.012231276,0.074912579,0.04321349
COP,0.062857129,0.745376934,0.075270227,3.095630811,7.600456531,4.544037806,5.080041716,,0.030956308,0.076004565,0.045440378,,0.030956308,0.076004565,0.045440378
EPD,0.850465107,1.450809765,0.471745937,41.88428662,14.79361119,28.4791405,28.38567944,,0.418842866,0.147936112,0.284791405,,0.418842866,0.147936112,0.284791405
HSP,0.233081564,0.665580044,0.120315076,11.47896009,6.78678392,7.263379912,8.509707974,,0.114789601,0.067867839,0.072633799,,0.114789601,0.067867839,0.072633799
CSP,0.631219612,1.065043201,0.408237242,31.08673468,10.86002824,24.64514232,22.19730175,,0.310867347,0.108600282,0.246451423,,0.310867347,0.108600282,0.246451423
OCC,0.011978219,0.734593973,0.070590187,0.589911496,7.490504872,4.261505373,4.113973914,,0.005899115,0.074905049,0.042615054,,0.005899115,0.074905049,0.042615054
